feature,group,auc_mean,auc_std,ks_mean,ks_std
num_subdomains,A,0.7659198841974872,0.0005658173989174911,0.542321367828144,0.0012481971201852987
num_dots,A,0.7456899566672355,0.0007500999218124132,0.5015510000638783,0.0015947392001065485
upper_ratio_pq,B,0.6485346410745103,0.00042940165529271385,0.3405933992020719,0.0008379762418156359
entropy_full,C,0.6076690525119373,0.0009551700831857506,0.19731171241783055,0.001254223639665301
digit_ratio,B,0.6029440025238044,0.0006444155591819449,0.21209536385755506,0.0011591194238883297
host_len,A,0.5909968179065679,0.0008156728822645489,0.2383600656380116,0.0009317423451236029
avg_token_len,D,0.5895449798313225,0.0012164646881728247,0.23187683185550526,0.0013304382729773159
max_token_len,D,0.576437205325826,0.0014780631955885785,0.23126168691457832,0.000831069446847951
brand_keyword_present,D,0.5634794186309853,0.0005752102243235254,0.12695883726197066,0.001150420448647089
count_equal,B,0.54414210585811,0.0004384464393308106,0.11204304709559834,0.0007386179823809963
query_len,A,0.5431001596471081,0.0005156780487468406,0.12399444719856219,0.0010063508864073334
has_query,A,0.5392706948826579,0.0005086896771171681,0.0785413897653158,0.0010173793542343774
count_question,B,0.5388326158773855,0.0005039057181683945,0.07870342339742176,0.0010047987355508675
url_len,A,0.525877744501709,0.0009935921110893569,0.14278875346881414,0.0009282034839909532
entropy_host,C,0.521544798080222,0.000676619133112486,0.2050451018331037,0.0008582569987450533
count_dash,B,0.5189630557865377,0.0006771392401802454,0.0973530331376713,0.0008236491025234298
num_tokens,D,0.5063357790359445,0.0006788167314179455,0.23954176212672343,0.0006589070979891431
has_fragment,A,0.5038278572541592,0.00015594831805522207,0.007655714508318567,0.0003118966361104862
count_at,B,0.5038226173148453,0.0001871541543831828,0.007645925807714305,0.00037431914487615867
etld1_missing,A,0.501355087042828,0.00012905721225813215,0.002710174085656103,0.00025811442451625515
is_ip_host,A,0.501355087042828,0.00012905721225813215,0.002710174085656103,0.00025811442451625515
num_slashes,A,0.5008472551522593,0.000299616048661409,0.2252736820155227,0.000581479682850826
action_token_present,D,0.5004835644332386,4.1346098316049854e-05,0.0009671288664772071,8.269219663211604e-05
has_port,A,0.5001215783354647,3.712356378457854e-05,0.00024315667092933424,7.424712756911629e-05
brand_in_path,E,0.49682404220269394,0.0001910378598105071,0.006351915594612123,0.0003820757196210183
brand_in_subdomain,E,0.4967325372157968,9.297588846813867e-05,0.006534925568406247,0.00018595177693623928
deep_subdomain,E,0.49524863813138725,0.00018610703079145716,0.009502723737225539,0.00037221406158291433
auth_token_present,D,0.4932894621538866,0.0001913474654402903,0.01342107569222677,0.0003826949308805456
brand_mismatch,E,0.49251959954876307,0.00014843112985981979,0.014960800902473958,0.0002968622597196977
count_percent,B,0.4905265528839172,0.0004089347161783214,0.01882208930042182,0.0008177359397255738
path_len,A,0.4844529383371025,0.0007067572840731831,0.2252736820155227,0.000581479682850826
count_underscore,B,0.4795725729178815,0.0006252088615051241,0.03987281549090984,0.0012300129829571442
entropy_path,C,0.4706500797603409,0.0007824240207690668,0.18998175392781758,0.0016106240293243448
alpha_ratio,B,0.4365246167031189,0.0003929403230681707,0.1255559255707902,0.0014661139334865066
symbol_ratio,B,0.43087286409633574,0.0008849698740572556,0.219945295184433,0.0012326780904697594
